,State,Year,Murder,Rape,Foeticide,Kidnapping and Abduction,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes
264,madhya pradesh,2002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
265,madhya pradesh,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,madhya pradesh,2002,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
267,madhya pradesh,2002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
268,madhya pradesh,2002,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
269,madhya pradesh,2002,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
270,madhya pradesh,2002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
271,madhya pradesh,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
272,maharashtra,2002,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
273,maharashtra,2002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
274,maharashtra,2002,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
275,maharashtra,2002,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
276,maharashtra,2002,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
277,maharashtra,2002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
278,maharashtra,2002,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
279,maharashtra,2002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
280,maharashtra,2002,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
281,maharashtra,2002,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
282,maharashtra,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
283,maharashtra,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
294,odisha,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
295,odisha,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,odisha,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
297,odisha,2002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
298,odisha,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
299,odisha,2002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
300,odisha,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,odisha,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,odisha,2002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
303,punjab,2002,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
305,punjab,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
306,punjab,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
307,punjab,2002,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
308,punjab,2002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
309,rajasthan,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
310,rajasthan,2002,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
311,rajasthan,2002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
312,rajasthan,2002,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
313,rajasthan,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,rajasthan,2002,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
315,rajasthan,2002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
316,rajasthan,2002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
317,rajasthan,2002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
319,tamil nadu,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,tamil nadu,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
321,tamil nadu,2002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
322,tamil nadu,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,tamil nadu,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,tamil nadu,2002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
326,tamil nadu,2002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
327,tamil nadu,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,tamil nadu,2002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
330,uttar pradesh,2002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
331,uttar pradesh,2002,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
332,uttar pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
333,uttar pradesh,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,uttar pradesh,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
335,uttar pradesh,2002,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
336,uttar pradesh,2002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
337,uttar pradesh,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
338,uttar pradesh,2002,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
